fandom,fic,year,month,category
"Harry Potter",238.125," 2000"," 02"," book"
"Harry Potter",238.125," 2000"," 03"," book"
"Harry Potter",238.125," 2000"," 03"," book"
"Harry Potter",238.125," 2000"," 04"," book"
"Harry Potter",238.125," 2000"," 04"," book"
"Harry Potter",238.125," 2000"," 05"," book"
"Harry Potter",238.125," 2000"," 05"," book"
"Harry Potter",1649.4545454545455," 2001"," 02"," book"
"Harry Potter",1649.4545454545455," 2001"," 03"," book"
"Harry Potter",1649.4545454545455," 2001"," 04"," book"
"Harry Potter",1649.4545454545455," 2001"," 05"," book"
"Harry Potter",1649.4545454545455," 2001"," 06"," book"
"Harry Potter",1649.4545454545455," 2001"," 07"," book"
"Harry Potter",1649.4545454545455," 2001"," 08"," book"
"Harry Potter",1649.4545454545455," 2001"," 09"," book"
"Harry Potter",1649.4545454545455," 2001"," 10"," book"
"Harry Potter",1649.4545454545455," 2001"," 11"," book"
"Harry Potter",1979.6666666666667," 2002"," 01"," book"
"Harry Potter",1979.6666666666667," 2002"," 02"," book"
"Harry Potter",577.0," 2002"," 04"," book"
"Harry Potter",4795.5," 2002"," 06"," book"
"Harry Potter",1948.0," 2002"," 08"," book"
"Harry Potter",1274.5," 2002"," 10"," book"
"Harry Potter",1274.5," 2002"," 11"," book"
"Harry Potter",1274.5," 2002"," 12"," book"
"Harry Potter",4881.666666666667," 2003"," 02"," book"
"Harry Potter",4881.666666666667," 2003"," 03"," book"
"Harry Potter",2673.5," 2003"," 05"," book"
"Harry Potter",1319.142857142857," 2003"," 07"," book"
"Harry Potter",1319.142857142857," 2003"," 08"," book"
"Harry Potter",1319.142857142857," 2003"," 09"," book"
"Harry Potter",1319.142857142857," 2003"," 10"," book"
"Harry Potter",1319.142857142857," 2003"," 11"," book"
"Harry Potter",1319.142857142857," 2003"," 12"," book"
"Harry Potter",8062.2," 2004"," 02"," book"
"Harry Potter",8062.2," 2004"," 03"," book"
"Harry Potter",8062.2," 2004"," 04"," book"
"Harry Potter",8062.2," 2004"," 05"," book"
"Harry Potter",8062.2," 2004"," 06"," book"
"Harry Potter",8062.2," 2004"," 07"," book"
"Harry Potter",8062.2," 2004"," 08"," book"
"Harry Potter",8062.2," 2004"," 09"," book"
"Harry Potter",8062.2," 2004"," 10"," book"
"Harry Potter",1677.5," 2005"," 06"," book"
"Harry Potter",2026.625," 2005"," 08"," book"
"Harry Potter",2026.625," 2005"," 09"," book"
"Harry Potter",2026.625," 2005"," 10"," book"
