fandom,fic,year,month,category
"Harry Potter",1649.4545454545455," 2000"," 02"," book"
"Harry Potter",1649.4545454545455," 2000"," 02"," book"
"Harry Potter",1649.4545454545455," 2000"," 03"," book"
"Harry Potter",1649.4545454545455," 2000"," 03"," book"
"Harry Potter",1649.4545454545455," 2000"," 04"," book"
"Harry Potter",1649.4545454545455," 2000"," 04"," book"
"Harry Potter",1649.4545454545455," 2000"," 05"," book"
"Harry Potter",1649.4545454545455," 2000"," 05"," book"
"Harry Potter",539.9090909090909," 2001"," 01"," book"
"Harry Potter",539.9090909090909," 2001"," 02"," book"
"Harry Potter",539.9090909090909," 2001"," 03"," book"
"Harry Potter",539.9090909090909," 2001"," 04"," book"
"Harry Potter",539.9090909090909," 2001"," 05"," book"
"Harry Potter",539.9090909090909," 2001"," 06"," book"
"Harry Potter",539.9090909090909," 2001"," 07"," book"
"Harry Potter",539.9090909090909," 2001"," 08"," book"
"Harry Potter",539.9090909090909," 2001"," 09"," book"
"Harry Potter",539.9090909090909," 2001"," 10"," book"
"Harry Potter",539.9090909090909," 2001"," 11"," book"
"Harry Potter",384.6666666666667," 2001"," 12"," book"
"Harry Potter",384.6666666666667," 2002"," 01"," book"
"Harry Potter",384.6666666666667," 2002"," 02"," book"
"Harry Potter",4795.5," 2002"," 03"," book"
"Harry Potter",4795.5," 2002"," 04"," book"
"Harry Potter",1948.0," 2002"," 05"," book"
"Harry Potter",1948.0," 2002"," 06"," book"
"Harry Potter",2549.0," 2002"," 07"," book"
"Harry Potter",2549.0," 2002"," 08"," book"
"Harry Potter",3661.25," 2002"," 09"," book"
"Harry Potter",3661.25," 2002"," 10"," book"
"Harry Potter",3661.25," 2002"," 11"," book"
"Harry Potter",3661.25," 2002"," 12"," book"
"Harry Potter",1782.3333333333333," 2003"," 01"," book"
"Harry Potter",1782.3333333333333," 2003"," 02"," book"
"Harry Potter",1782.3333333333333," 2003"," 03"," book"
"Harry Potter",4617.0," 2003"," 04"," book"
"Harry Potter",4617.0," 2003"," 05"," book"
"Harry Potter",11517.42857142857," 2003"," 06"," book"
"Harry Potter",11517.42857142857," 2003"," 07"," book"
"Harry Potter",11517.42857142857," 2003"," 08"," book"
"Harry Potter",11517.42857142857," 2003"," 09"," book"
"Harry Potter",11517.42857142857," 2003"," 10"," book"
"Harry Potter",11517.42857142857," 2003"," 11"," book"
"Harry Potter",11517.42857142857," 2003"," 12"," book"
"Harry Potter",375.0," 2004"," 01"," book"
"Harry Potter",375.0," 2004"," 02"," book"
"Harry Potter",375.0," 2004"," 03"," book"
"Harry Potter",375.0," 2004"," 04"," book"
"Harry Potter",375.0," 2004"," 05"," book"
"Harry Potter",375.0," 2004"," 06"," book"
"Harry Potter",375.0," 2004"," 07"," book"
"Harry Potter",375.0," 2004"," 08"," book"
"Harry Potter",375.0," 2004"," 09"," book"
"Harry Potter",375.0," 2004"," 10"," book"
"Harry Potter",5812.0," 2004"," 11"," book"
"Harry Potter",4755.0," 2004"," 12"," book"
"Harry Potter",4523.0," 2005"," 01"," book"
"Harry Potter",4302.0," 2005"," 03"," book"
"Harry Potter",3355.0," 2005"," 04"," book"
"Harry Potter",8106.5," 2005"," 05"," book"
"Harry Potter",8106.5," 2005"," 06"," book"
"Harry Potter",8246.125," 2005"," 07"," book"
"Harry Potter",8246.125," 2005"," 08"," book"
"Harry Potter",8246.125," 2005"," 09"," book"
"Harry Potter",8246.125," 2005"," 10"," book"
"Harry Potter",8246.125," 2005"," 11"," book"
"Harry Potter",8246.125," 2005"," 12"," book"
"Harry Potter",8246.125," 2006"," 01"," book"
"Harry Potter",8246.125," 2006"," 02"," book"
"Harry Potter",3247.9," 2006"," 03"," book"
"Harry Potter",3247.9," 2006"," 04"," book"
"Harry Potter",3247.9," 2006"," 05"," book"
"Harry Potter",3247.9," 2006"," 06"," book"
"Harry Potter",3247.9," 2006"," 07"," book"
