fandom,fic,year,month,category
"Naruto",5, 2002, 03, anime
"Naruto",5, 2002, 04, anime
"Naruto",17, 2002, 05, anime
"Naruto",17, 2002, 06, anime
"Naruto",17, 2002, 07, anime
"Naruto",17, 2002, 08, anime
"Naruto",52, 2002, 09, anime
"Naruto",52, 2002, 10, anime
"Naruto",52, 2002, 11, anime
"Naruto",52, 2002, 12, anime
"Naruto",52, 2003, 01, anime
"Naruto",52, 2003, 02, anime
"Naruto",52, 2003, 03, anime
"Naruto",245, 2003, 04, anime
"Naruto",245, 2003, 05, anime
"Naruto",245, 2003, 06, anime
"Naruto",245, 2003, 07, anime
"Naruto",245, 2003, 08, anime
"Naruto",245, 2003, 09, anime
"Naruto",245, 2003, 10, anime
"Naruto",245, 2003, 11, anime
"Naruto",245, 2003, 12, anime
"Naruto",6236, 2004, 01, anime
"Naruto",6236, 2004, 02, anime
"Naruto",6236, 2004, 03, anime
"Naruto",6236, 2004, 04, anime
"Naruto",6236, 2004, 05, anime
"Naruto",6236, 2004, 06, anime
"Naruto",6236, 2004, 07, anime
"Naruto",6236, 2004, 08, anime
"Naruto",6236, 2004, 09, anime
"Naruto",6236, 2004, 10, anime
"Naruto",6799, 2004, 11, anime
"Naruto",7543, 2004, 12, anime
"Naruto",8344, 2005, 01, anime
"Naruto",9024, 2005, 02, anime
"Naruto",9823, 2005, 03, anime
"Naruto",10776, 2005, 04, anime
"Naruto",11625, 2005, 05, anime
"Naruto",11625, 2005, 06, anime
"Naruto",15645, 2005, 07, anime
"Naruto",15645, 2005, 08, anime
"Naruto",15645, 2005, 09, anime
"Naruto",15645, 2005, 10, anime
"Naruto",15645, 2005, 11, anime
"Naruto",15645, 2005, 12, anime
"Naruto",15645, 2006, 01, anime
"Naruto",15645, 2006, 02, anime
"Naruto",48520, 2006, 03, anime
"Naruto",48520, 2006, 04, anime
"Naruto",48520, 2006, 05, anime
"Naruto",48520, 2006, 06, anime
"Naruto",48520, 2006, 07, anime
"Naruto",48520, 2006, 08, anime
"Naruto",48520, 2006, 09, anime
"Naruto",48520, 2006, 10, anime
"Naruto",48520, 2006, 11, anime
"Naruto",48520, 2006, 12, anime
"Naruto",84824, 2007, 01, anime
"Naruto",84824, 2007, 02, anime
"Naruto",84824, 2007, 03, anime
"Naruto",84824, 2007, 04, anime
"Naruto",84824, 2007, 05, anime
"Naruto",84824, 2007, 06, anime
"Naruto",84824, 2007, 07, anime
"Naruto",84824, 2007, 08, anime
"Naruto",102305, 2007, 09, anime
"Naruto",102305, 2007, 10, anime
"Naruto",102305, 2007, 11, anime
"Naruto",102305, 2007, 12, anime
"Naruto",102305, 2008, 01, anime
"Naruto",102305, 2008, 02, anime
"Naruto",182199, 2009, 01, anime
"Naruto",182199, 2009, 02, anime
"Naruto",183367, 2009, 03, anime
"Naruto",186106, 2009, 04, anime
"Naruto",186106, 2009, 05, anime
"Naruto",212682, 2009, 06, anime
"Naruto",212682, 2009, 07, anime
"Naruto",212682, 2009, 08, anime
"Naruto",212682, 2009, 09, anime
"Naruto",212682, 2009, 10, anime
"Naruto",212682, 2009, 11, anime
"Naruto",212682, 2009, 12, anime
"Naruto",212682, 2010, 01, anime
"Naruto",212682, 2010, 02, anime
"Naruto",212682, 2010, 03, anime
"Naruto",230962, 2010, 04, anime
"Naruto",237066, 2010, 05, anime
"Naruto",238886, 2010, 06, anime
"Naruto",238886, 2010, 07, anime
"Naruto",238886, 2010, 08, anime
"Naruto",238886, 2010, 09, anime
"Naruto",238886, 2010, 10, anime
"Naruto",238886, 2010, 11, anime
"Naruto",258822, 2010, 12, anime
"Naruto",258822, 2011, 01, anime
"Naruto",258822, 2011, 02, anime
"Naruto",258822, 2011, 03, anime
"Naruto",272780, 2011, 04, anime
"Naruto",272780, 2011, 05, anime
"Naruto",272780, 2011, 06, anime
"Naruto",276530, 2011, 07, anime
"Naruto",281013, 2011, 08, anime
"Naruto",282716, 2011, 09, anime
"Naruto",286898, 2011, 10, anime
"Naruto",286898, 2011, 11, anime
"Naruto",293674, 2011, 12, anime
"Naruto",293674, 2012, 01, anime
"Naruto",294553, 2012, 02, anime
"Naruto",294553, 2012, 03, anime
"Naruto",303258, 2012, 04, anime
"Naruto",303258, 2012, 05, anime
"Naruto",304623, 2012, 06, anime
"Naruto",304623, 2012, 07, anime
"Naruto",304623, 2012, 08, anime
"Naruto",304623, 2012, 09, anime
"Naruto",320472, 2012, 10, anime
"Naruto",320472, 2012, 11, anime
"Naruto",320472, 2012, 12, anime
"Naruto",320472, 2013, 01, anime
"Naruto",322438, 2013, 02, anime
"Naruto",324977, 2013, 03, anime
"Naruto",327439, 2013, 04, anime
"Naruto",330370, 2013, 05, anime
"Naruto",332963, 2013, 06, anime
"Naruto",339315, 2013, 08, anime
"Naruto",344000, 2013, 09, anime
"Naruto",345000, 2013, 10, anime
"Naruto",348000, 2013, 11, anime
"Naruto",348000, 2013, 12, anime
"Naruto",352000, 2014, 01, anime
"Naruto",353000, 2014, 02, anime
"Naruto",355000, 2014, 03, anime
"Naruto",357000, 2014, 04, anime
"Naruto",359000, 2014, 05, anime
"Naruto",361000, 2014, 06, anime
"Naruto",363000, 2014, 07, anime
"Naruto",365000, 2014, 08, anime
"Naruto",367000, 2014, 09, anime
"Naruto",368000, 2014, 10, anime
"Naruto",370000, 2014, 11, anime
"Naruto",372000, 2014, 12, anime
"Naruto",374000, 2015, 01, anime
"Naruto",376000, 2015, 02, anime
"Naruto",378000, 2015, 03, anime
"Naruto",379000, 2015, 04, anime
"Naruto",381000, 2015, 05, anime
"Naruto",383000, 2015, 06, anime
"Naruto",385000, 2015, 07, anime
"Naruto",387000, 2015, 08, anime
"Naruto",389000, 2015, 09, anime
"Naruto",391000, 2015, 10, anime
"Naruto",392000, 2015, 11, anime
"Naruto",394000, 2015, 12, anime
"Naruto",395000, 2016, 01, anime
"Naruto",397000, 2016, 02, anime
"Naruto",398000, 2016, 03, anime
"Naruto",399000, 2016, 04, anime
"Naruto",401000, 2016, 05, anime
"Naruto",402000, 2016, 06, anime
"Naruto",403000, 2016, 07, anime
"Naruto",404000, 2016, 08, anime
"Naruto",405000, 2016, 09, anime
"Naruto",406000, 2016, 10, anime
"Naruto",408000, 2016, 11, anime
"Naruto",408000, 2016, 12, anime
"Naruto",409000, 2017, 01, anime
"Naruto",410000, 2017, 02, anime
"Naruto",411000, 2017, 03, anime
"Naruto",412000, 2017, 04, anime
"Naruto",412000, 2017, 05, anime
"Naruto",413000, 2017, 06, anime
"Naruto",415000, 2017, 07, anime
"Naruto",416000, 2017, 08, anime
"Naruto",416000, 2017, 09, anime
"Naruto",417000, 2017, 10, anime
"Naruto",418000, 2017, 11, anime
"Naruto",419000, 2017, 12, anime
"Naruto",420000, 2018, 01, anime
"Naruto",420000, 2018, 02, anime
"Naruto",421000, 2018, 03, anime
"Naruto",421000, 2018, 04, anime
"Naruto",421000, 2018, 05, anime
"Naruto",422000, 2018, 06, anime
"Naruto",423000, 2018, 07, anime
"Naruto",423000, 2018, 08, anime
"Naruto",425000, 2018, 09, anime
"Naruto",425000, 2018, 10, anime
"Naruto",425000, 2018, 11, anime
"Naruto",425000, 2018, 12, anime
"Naruto",426000, 2019, 01, anime
"Naruto",426000, 2019, 02, anime
"Naruto",426000, 2019, 03, anime
"Naruto",427000, 2019, 04, anime
"Naruto",427000, 2019, 05, anime
"Naruto",427000, 2019, 06, anime
"Naruto",428000, 2019, 07, anime
"Naruto",428000, 2019, 08, anime
"Naruto",428000, 2019, 09, anime
"Naruto",429000, 2019, 10, anime
"Naruto",429000, 2019, 11, anime
"Naruto",429000, 2019, 12, anime
"Naruto",429000, 2020, 01, anime
"Naruto",430000, 2020, 02, anime
"Naruto",430000, 2020, 03, anime
"Naruto",430000, 2020, 04, anime
"Naruto",431000, 2020, 05, anime
"Naruto",431000, 2020, 06, anime
"Naruto",431000, 2020, 07, anime
"Naruto",432000, 2020, 08, anime
"Naruto",432000, 2020, 09, anime
"Naruto",432000, 2020, 10, anime
"Naruto",432000, 2020, 11, anime
"Naruto",433000, 2020, 12, anime
"Naruto",433000, 2021, 01, anime
"Naruto",433000, 2021, 02, anime
"Naruto",434000, 2021, 03, anime
"Naruto",434000, 2021, 04, anime
"Naruto",435000, 2021, 06, anime
"Naruto",435000, 2021, 07, anime
"Naruto",435000, 2021, 08, anime
