fandom,fic,year,month,category
Pokémon,86.8," 2000"," 02"," game"
Pokémon,86.8," 2000"," 02"," game"
Pokémon,86.8," 2000"," 03"," game"
Pokémon,86.8," 2000"," 03"," game"
Pokémon,86.8," 2000"," 04"," game"
Pokémon,86.8," 2000"," 04"," game"
Pokémon,86.8," 2000"," 05"," game"
Pokémon,86.8," 2000"," 05"," game"
Pokémon,715.3333333333334," 2000"," 07"," game"
Pokémon,715.3333333333334," 2000"," 07"," game"
Pokémon,715.3333333333334," 2000"," 08"," game"
Pokémon,715.3333333333334," 2000"," 08"," game"
Pokémon,715.3333333333334," 2000"," 09"," game"
Pokémon,715.3333333333334," 2000"," 09"," game"
Pokémon,864.3333333333334," 2000"," 10"," game"
Pokémon,864.3333333333334," 2000"," 10"," game"
Pokémon,57.09090909090909," 2001"," 01"," game"
Pokémon,57.09090909090909," 2001"," 02"," game"
Pokémon,57.09090909090909," 2001"," 03"," game"
Pokémon,57.09090909090909," 2001"," 04"," game"
Pokémon,57.09090909090909," 2001"," 05"," game"
Pokémon,57.09090909090909," 2001"," 06"," game"
Pokémon,57.09090909090909," 2001"," 07"," game"
Pokémon,57.09090909090909," 2001"," 08"," game"
Pokémon,57.09090909090909," 2001"," 09"," game"
Pokémon,57.09090909090909," 2001"," 10"," game"
Pokémon,57.09090909090909," 2001"," 11"," game"
Pokémon,3.0," 2001"," 12"," game"
Pokémon,3.0," 2002"," 01"," game"
Pokémon,293.0," 2002"," 02"," game"
Pokémon,293.0," 2002"," 03"," game"
Pokémon,293.0," 2002"," 04"," game"
Pokémon,142.0," 2002"," 05"," game"
Pokémon,142.0," 2002"," 06"," game"
Pokémon,142.0," 2002"," 07"," game"
Pokémon,142.0," 2002"," 08"," game"
Pokémon,56.0," 2002"," 09"," game"
Pokémon,56.0," 2002"," 10"," game"
Pokémon,126.5," 2002"," 11"," game"
Pokémon,126.5," 2002"," 12"," game"
Pokémon,83.66666666666667," 2003"," 01"," game"
Pokémon,83.66666666666667," 2003"," 02"," game"
Pokémon,83.66666666666667," 2003"," 03"," game"
Pokémon,172.0," 2003"," 04"," game"
Pokémon,172.0," 2003"," 05"," game"
Pokémon,1.0," 2003"," 06"," game"
Pokémon,272.5," 2003"," 07"," game"
Pokémon,272.5," 2003"," 08"," game"
Pokémon,272.5," 2003"," 09"," game"
Pokémon,272.5," 2003"," 10"," game"
Pokémon,272.5," 2003"," 11"," game"
Pokémon,272.5," 2003"," 12"," game"
Pokémon,1.2," 2004"," 01"," game"
Pokémon,1.2," 2004"," 02"," game"
Pokémon,1.2," 2004"," 03"," game"
Pokémon,1.2," 2004"," 04"," game"
Pokémon,1.2," 2004"," 05"," game"
Pokémon,1.2," 2004"," 06"," game"
Pokémon,1.2," 2004"," 07"," game"
Pokémon,1.2," 2004"," 08"," game"
Pokémon,1.2," 2004"," 09"," game"
Pokémon,1.2," 2004"," 10"," game"
Pokémon,149.0," 2004"," 11"," game"
Pokémon,68.0," 2004"," 12"," game"
Pokémon,47.0," 2005"," 01"," game"
Pokémon,36.0," 2005"," 02"," game"
Pokémon,44.0," 2005"," 03"," game"
Pokémon,75.0," 2005"," 04"," game"
Pokémon,213.6," 2005"," 05"," game"
Pokémon,213.6," 2005"," 06"," game"
Pokémon,213.6," 2005"," 07"," game"
Pokémon,213.6," 2005"," 08"," game"
Pokémon,213.6," 2005"," 09"," game"
Pokémon,213.6," 2005"," 10"," game"
Pokémon,213.6," 2005"," 11"," game"
Pokémon,213.6," 2005"," 12"," game"
