fandom,fic,year,month,category
Wrestling,37.90909090909091," 2001"," 01"," misc"
Wrestling,37.90909090909091," 2001"," 02"," misc"
Wrestling,37.90909090909091," 2001"," 03"," misc"
Wrestling,37.90909090909091," 2001"," 04"," misc"
Wrestling,37.90909090909091," 2001"," 05"," misc"
Wrestling,37.90909090909091," 2001"," 06"," misc"
Wrestling,37.90909090909091," 2001"," 07"," misc"
Wrestling,37.90909090909091," 2001"," 08"," misc"
Wrestling,37.90909090909091," 2001"," 09"," misc"
Wrestling,37.90909090909091," 2001"," 10"," misc"
Wrestling,37.90909090909091," 2001"," 11"," misc"
Wrestling,8.5," 2001"," 12"," misc"
Wrestling,8.5," 2002"," 01"," misc"
Wrestling,552.0," 2002"," 02"," misc"
Wrestling,161.0," 2002"," 03"," misc"
Wrestling,161.0," 2002"," 04"," misc"
Wrestling,136.5," 2002"," 05"," misc"
Wrestling,136.5," 2002"," 06"," misc"
Wrestling,199.0," 2002"," 07"," misc"
Wrestling,199.0," 2002"," 08"," misc"
Wrestling,-22.0," 2002"," 09"," misc"
Wrestling,-22.0," 2002"," 10"," misc"
Wrestling,179.0," 2002"," 11"," misc"
Wrestling,179.0," 2002"," 12"," misc"
Wrestling,112.0," 2003"," 01"," misc"
Wrestling,112.0," 2003"," 02"," misc"
Wrestling,112.0," 2003"," 03"," misc"
Wrestling,157.5," 2003"," 04"," misc"
Wrestling,157.5," 2003"," 05"," misc"
Wrestling,319.14285714285717," 2003"," 06"," misc"
Wrestling,319.14285714285717," 2003"," 07"," misc"
Wrestling,319.14285714285717," 2003"," 08"," misc"
Wrestling,319.14285714285717," 2003"," 09"," misc"
Wrestling,319.14285714285717," 2003"," 10"," misc"
Wrestling,319.14285714285717," 2003"," 11"," misc"
Wrestling,319.14285714285717," 2003"," 12"," misc"
Wrestling,3.9," 2004"," 01"," misc"
Wrestling,3.9," 2004"," 02"," misc"
Wrestling,3.9," 2004"," 03"," misc"
Wrestling,3.9," 2004"," 04"," misc"
Wrestling,3.9," 2004"," 05"," misc"
Wrestling,3.9," 2004"," 06"," misc"
Wrestling,3.9," 2004"," 07"," misc"
Wrestling,3.9," 2004"," 08"," misc"
Wrestling,3.9," 2004"," 09"," misc"
Wrestling,3.9," 2004"," 10"," misc"
Wrestling,83.0," 2004"," 11"," misc"
Wrestling,242.0," 2004"," 12"," misc"
Wrestling,196.0," 2005"," 01"," misc"
Wrestling,191.0," 2005"," 02"," misc"
Wrestling,144.0," 2005"," 03"," misc"
Wrestling,108.0," 2005"," 04"," misc"
Wrestling,179.0," 2005"," 05"," misc"
Wrestling,179.0," 2005"," 06"," misc"
Wrestling,307.0," 2005"," 07"," misc"
Wrestling,307.0," 2005"," 08"," misc"
Wrestling,307.0," 2005"," 09"," misc"
Wrestling,307.0," 2005"," 10"," misc"
Wrestling,307.0," 2005"," 11"," misc"
Wrestling,307.0," 2005"," 12"," misc"
Wrestling,307.0," 2006"," 01"," misc"
Wrestling,307.0," 2006"," 02"," misc"
Wrestling,122.7," 2006"," 03"," misc"
Wrestling,122.7," 2006"," 04"," misc"
Wrestling,122.7," 2006"," 05"," misc"
Wrestling,122.7," 2006"," 06"," misc"
Wrestling,122.7," 2006"," 07"," misc"
Wrestling,122.7," 2006"," 08"," misc"
Wrestling,122.7," 2006"," 09"," misc"
Wrestling,122.7," 2006"," 10"," misc"
Wrestling,122.7," 2006"," 11"," misc"
Wrestling,122.7," 2006"," 12"," misc"
Wrestling,204.91666666666666," 2007"," 01"," misc"
Wrestling,204.91666666666666," 2007"," 02"," misc"
Wrestling,204.91666666666666," 2007"," 03"," misc"
Wrestling,204.91666666666666," 2007"," 04"," misc"
Wrestling,204.91666666666666," 2007"," 05"," misc"
Wrestling,204.91666666666666," 2007"," 06"," misc"
Wrestling,204.91666666666666," 2007"," 07"," misc"
Wrestling,204.91666666666666," 2007"," 08"," misc"
Wrestling,204.91666666666666," 2007"," 09"," misc"
Wrestling,204.91666666666666," 2007"," 10"," misc"
Wrestling,204.91666666666666," 2007"," 11"," misc"
Wrestling,204.91666666666666," 2007"," 12"," misc"
Wrestling,204.91666666666666," 2008"," 01"," misc"
Wrestling,204.91666666666666," 2008"," 02"," misc"
Wrestling,50.0," 2009"," 01"," misc"
Wrestling,50.0," 2009"," 02"," misc"
Wrestling,340.0," 2009"," 03"," misc"
Wrestling,1331.5," 2009"," 04"," misc"
Wrestling,1331.5," 2009"," 05"," misc"
Wrestling,166.7," 2009"," 06"," misc"
Wrestling,166.7," 2009"," 07"," misc"
Wrestling,166.7," 2009"," 08"," misc"
Wrestling,166.7," 2009"," 09"," misc"
Wrestling,166.7," 2009"," 10"," misc"
Wrestling,166.7," 2009"," 11"," misc"
Wrestling,166.7," 2009"," 12"," misc"
Wrestling,166.7," 2010"," 01"," misc"
Wrestling,166.7," 2010"," 02"," misc"
Wrestling,166.7," 2010"," 03"," misc"
Wrestling,984.0," 2010"," 04"," misc"
Wrestling,333.0," 2010"," 05"," misc"
Wrestling,333.0," 2010"," 06"," misc"
Wrestling,333.0," 2010"," 07"," misc"
Wrestling,333.0," 2010"," 08"," misc"
Wrestling,333.0," 2010"," 09"," misc"
Wrestling,333.0," 2010"," 10"," misc"
Wrestling,333.0," 2010"," 11"," misc"
Wrestling,495.25," 2010"," 12"," misc"
Wrestling,495.25," 2011"," 01"," misc"
Wrestling,495.25," 2011"," 02"," misc"
Wrestling,495.25," 2011"," 03"," misc"
Wrestling,160.33333333333334," 2011"," 04"," misc"
Wrestling,160.33333333333334," 2011"," 05"," misc"
Wrestling,160.33333333333334," 2011"," 06"," misc"
Wrestling,588.0," 2011"," 07"," misc"
Wrestling,26.0," 2011"," 08"," misc"
Wrestling,421.0," 2011"," 09"," misc"
Wrestling,383.0," 2011"," 10"," misc"
Wrestling,383.0," 2011"," 11"," misc"
Wrestling,37.0," 2011"," 12"," misc"
Wrestling,37.0," 2012"," 01"," misc"
Wrestling,458.5," 2012"," 02"," misc"
Wrestling,458.5," 2012"," 03"," misc"
Wrestling,37.0," 2012"," 04"," misc"
Wrestling,37.0," 2012"," 05"," misc"
Wrestling,544.0," 2012"," 06"," misc"
Wrestling,544.0," 2012"," 07"," misc"
Wrestling,544.0," 2012"," 08"," misc"
Wrestling,544.0," 2012"," 09"," misc"
Wrestling,12.5," 2012"," 10"," misc"
Wrestling,12.5," 2012"," 11"," misc"
Wrestling,12.5," 2012"," 12"," misc"
Wrestling,12.5," 2013"," 01"," misc"
Wrestling,341.0," 2013"," 02"," misc"
Wrestling,240.0," 2013"," 03"," misc"
Wrestling,221.0," 2013"," 04"," misc"
Wrestling,467.0," 2013"," 05"," misc"
Wrestling,254.5," 2013"," 06"," misc"
Wrestling,532.0," 2013"," 08"," misc"
Wrestling,150.0," 2013"," 09"," misc"
Wrestling,150.0," 2013"," 10"," misc"
Wrestling,200.0," 2013"," 11"," misc"
Wrestling,200.0," 2013"," 12"," misc"
Wrestling,150.0," 2014"," 01"," misc"
Wrestling,150.0," 2014"," 02"," misc"
Wrestling,200.0," 2014"," 03"," misc"
Wrestling,100.0," 2014"," 04"," misc"
Wrestling,200.0," 2014"," 05"," misc"
Wrestling,400.0," 2014"," 06"," misc"
Wrestling,200.0," 2014"," 07"," misc"
Wrestling,300.0," 2014"," 08"," misc"
Wrestling,150.0," 2014"," 09"," misc"
Wrestling,150.0," 2014"," 10"," misc"
Wrestling,200.0," 2014"," 11"," misc"
Wrestling,200.0," 2014"," 12"," misc"
Wrestling,100.0," 2015"," 01"," misc"
Wrestling,300.0," 2015"," 02"," misc"
Wrestling,100.0," 2015"," 03"," misc"
Wrestling,100.0," 2015"," 04"," misc"
Wrestling,300.0," 2015"," 05"," misc"
Wrestling,100.0," 2015"," 06"," misc"
Wrestling,300.0," 2015"," 07"," misc"
Wrestling,100.0," 2015"," 08"," misc"
Wrestling,200.0," 2015"," 09"," misc"
Wrestling,100.0," 2015"," 10"," misc"
Wrestling,100.0," 2015"," 11"," misc"
Wrestling,200.0," 2015"," 12"," misc"
Wrestling,100.0," 2016"," 01"," misc"
Wrestling,100.0," 2016"," 02"," misc"
Wrestling,100.0," 2016"," 03"," misc"
Wrestling,200.0," 2016"," 04"," misc"
Wrestling,100.0," 2016"," 05"," misc"
Wrestling,200.0," 2016"," 06"," misc"
Wrestling,300.0," 2016"," 07"," misc"
Wrestling,100.0," 2016"," 08"," misc"
Wrestling,100.0," 2016"," 09"," misc"
Wrestling,200.0," 2016"," 10"," misc"
Wrestling,150.0," 2016"," 11"," misc"
Wrestling,150.0," 2016"," 12"," misc"
Wrestling,33.333333333333336," 2017"," 01"," misc"
Wrestling,33.333333333333336," 2017"," 02"," misc"
Wrestling,33.333333333333336," 2017"," 03"," misc"
Wrestling,100.0," 2017"," 04"," misc"
Wrestling,100.0," 2017"," 05"," misc"
Wrestling,100.0," 2017"," 06"," misc"
Wrestling,100.0," 2017"," 07"," misc"
Wrestling,100.0," 2017"," 08"," misc"
Wrestling,-200.0," 2017"," 09"," misc"
Wrestling,100.0," 2017"," 10"," misc"
Wrestling,100.0," 2017"," 11"," misc"
Wrestling,100.0," 2017"," 12"," misc"
Wrestling,100.0," 2018"," 01"," misc"
Wrestling,100.0," 2018"," 02"," misc"
Wrestling,66.66666666666667," 2018"," 03"," misc"
Wrestling,66.66666666666667," 2018"," 04"," misc"
Wrestling,66.66666666666667," 2018"," 05"," misc"
Wrestling,100.0," 2018"," 06"," misc"
Wrestling,100.0," 2018"," 07"," misc"
Wrestling,100.0," 2018"," 08"," misc"
Wrestling,50.0," 2018"," 09"," misc"
Wrestling,50.0," 2018"," 10"," misc"
Wrestling,100.0," 2018"," 11"," misc"
Wrestling,100.0," 2018"," 12"," misc"
Wrestling,50.0," 2019"," 01"," misc"
Wrestling,50.0," 2019"," 02"," misc"
Wrestling,100.0," 2019"," 03"," misc"
Wrestling,100.0," 2019"," 04"," misc"
Wrestling,100.0," 2019"," 05"," misc"
Wrestling,14.285714285714286," 2019"," 06"," misc"
Wrestling,14.285714285714286," 2019"," 07"," misc"
Wrestling,14.285714285714286," 2019"," 08"," misc"
Wrestling,14.285714285714286," 2019"," 09"," misc"
Wrestling,14.285714285714286," 2019"," 10"," misc"
Wrestling,14.285714285714286," 2019"," 11"," misc"
Wrestling,14.285714285714286," 2019"," 12"," misc"
Wrestling,-50.0," 2020"," 01"," misc"
Wrestling,-50.0," 2020"," 02"," misc"
Wrestling,100.0," 2020"," 03"," misc"
Wrestling,50.0," 2020"," 04"," misc"
Wrestling,50.0," 2020"," 05"," misc"
Wrestling,-100.0," 2020"," 06"," misc"
Wrestling,33.333333333333336," 2020"," 07"," misc"
Wrestling,33.333333333333336," 2020"," 08"," misc"
Wrestling,33.333333333333336," 2020"," 09"," misc"
Wrestling,-100.0," 2020"," 10"," misc"
Wrestling,-100.0," 2020"," 11"," misc"
Wrestling,-16.666666666666668," 2020"," 12"," misc"
Wrestling,-16.666666666666668," 2021"," 01"," misc"
Wrestling,-16.666666666666668," 2021"," 02"," misc"
Wrestling,-16.666666666666668," 2021"," 03"," misc"
Wrestling,-16.666666666666668," 2021"," 04"," misc"
Wrestling,100.0," 2021"," 06"," misc"
Wrestling,25.0," 2021"," 07"," misc"
Wrestling,25.0," 2021"," 08"," misc"
Wrestling,25.0," 2021"," 10"," misc"
Wrestling,-100.0," 2021"," 11"," misc"
Wrestling,-100.0," 2021"," 12"," misc"
Wrestling,100.0," 2022"," 01"," misc"
